N	l	D	materiale	d_g	d_xa	d_xr
1	1000	250	tungsteno	0	0	0
1	1000	250	tungsteno	100	18	14
1	1000	250	tungsteno	200	38	34
1	1000	250	tungsteno	300	59	56
1	1000	250	tungsteno	400	80	77
1	1000	250	tungsteno	500	101	98
1	1000	250	tungsteno	600	121	118
1	1000	250	tungsteno	700	143	140
1	1000	250	tungsteno	800	164	162
1	1000	250	tungsteno	900	183	183
1	1000	250	tungsteno	1000	204	204
3	1000	500	ottone	0	0	0
3	1000	500	ottone	100	20	19
3	1000	500	ottone	200	40	39
3	1000	500	ottone	300	60	60
3	1000	500	ottone	400	81	80
3	1000	500	ottone	500	100	100
3	1000	500	ottone	600	120	120
3	1000	500	ottone	700	140	140
3	1000	500	ottone	800	161	160
3	1000	500	ottone	900	181	181
3	1000	500	ottone	1000	201	201
6	950	305	acciaio	0	0	0
6	950	305	acciaio	100	25	24
6	950	305	acciaio	200	50	49
6	950	305	acciaio	300	76	73
6	950	305	acciaio	400	101	98
6	950	305	acciaio	500	126	123
6	950	305	acciaio	600	150	148
6	950	305	acciaio	700	175	173
6	950	305	acciaio	800	200	199
6	950	305	acciaio	900	224	223
6	950	305	acciaio	1000	249	248
7	950	330	acciaio	0	0	0
7	950	330	acciaio	100	22	21
7	950	330	acciaio	200	45	43
7	950	330	acciaio	300	66	64
7	950	330	acciaio	400	87	85
7	950	330	acciaio	500	109	107
7	950	330	acciaio	600	131	129
7	950	330	acciaio	700	153	151
7	950	330	acciaio	800	173	173
7	950	330	acciaio	900	196	194
7	950	330	acciaio	1000	217	217
9	950	381	acciaio	0	0	0
9	950	381	acciaio	100	16	16
9	950	381	acciaio	200	34	34
9	950	381	acciaio	300	50	49
9	950	381	acciaio	400	66	65
9	950	381	acciaio	500	83	81
9	950	381	acciaio	600	99	98
9	950	381	acciaio	700	115	115
9	950	381	acciaio	800	131	132
9	950	381	acciaio	900	148	149
9	950	381	acciaio	1000	165	165
10	950	406	acciaio	0	0	0
10	950	406	acciaio	100	15	13
10	950	406	acciaio	200	29	27
10	950	406	acciaio	300	43	41
10	950	406	acciaio	400	57	54
10	950	406	acciaio	500	71	68
10	950	406	acciaio	600	85	82
10	950	406	acciaio	700	98	96
10	950	406	acciaio	800	112	110
10	950	406	acciaio	900	126	124
10	950	406	acciaio	1000	139	138
13	900	279	acciaio	0	0	0
13	900	279	acciaio	100	27	10
13	900	279	acciaio	200	54	37
13	900	279	acciaio	300	81	64
13	900	279	acciaio	400	110	91
13	900	279	acciaio	500	136	118
13	900	279	acciaio	600	163	145
13	900	279	acciaio	700	190	174
13	900	279	acciaio	800	218	200
13	900	279	acciaio	900	244	228
13	900	279	acciaio	1000	254	255
14	800	279	acciaio	0	0	0
14	800	279	acciaio	100	23	26
14	800	279	acciaio	200	47	50
14	800	279	acciaio	300	73	75
14	800	279	acciaio	400	98	101
14	800	279	acciaio	500	123	125
14	800	279	acciaio	600	147	151
14	800	279	acciaio	700	173	176
14	800	279	acciaio	800	198	201
14	800	279	acciaio	900	223	226
14	800	279	acciaio	1000	248	250
18	400	279	acciaio	0	0	0
18	400	279	acciaio	100	16	11
18	400	279	acciaio	200	29	25
18	400	279	acciaio	300	41	37
18	400	279	acciaio	400	54	51
18	400	279	acciaio	500	66	64
18	400	279	acciaio	600	80	77
18	400	279	acciaio	700	93	89
18	400	279	acciaio	800	106	102
18	400	279	acciaio	900	117	116
18	400	279	acciaio	1000	130	130
19	300	279	acciaio	0	0	0
19	300	279	acciaio	100	8	9
19	300	279	acciaio	200	18	19
19	300	279	acciaio	300	27	28
19	300	279	acciaio	400	36	37
19	300	279	acciaio	500	47	46
19	300	279	acciaio	600	56	56
19	300	279	acciaio	700	64	65
19	300	279	acciaio	800	75	74
19	300	279	acciaio	900	83	84
19	300	279	acciaio	1000	94	94
