ID	alpha	N	10	20	30	40	50	60	70	80	90
15	15	1	6545	12365	17371	22139	26217	30474	34135	37757	41153
15	15	2	6589	12330	17355	22144	26299	30045	33882	37795	41173
15	15	3	6593	12235	17354	22112	26217	30321	34132	37575	40899
15	15	4	6563	12227	17333	22079	26258	30225	33776	37708	41299
15	15	5	6635	12433	17287	21991	26311	30291	34129	37625	41240
15	15	6	6631	12287	17342	21979	26349	30429	33971	37715	41265
15	15	7	6583	12131	17324	21881	26329	30305	34097	37607	41146
15	15	8	6559	12267	17485	21942	26425	30132	34111	37625	40953
15	15	9	6651	12249	17302	21943	26477	30072	33989	37547	41458
15	15	10	6552	12235	17345	22225	26231	30279	34151	37671	40837
30	30	1	4639	8589	12253	15406	18486	21166	23783	26396	28786
30	30	2	4625	8648	12151	15461	18504	21205	23715	26315	28847
30	30	3	4635	8577	12169	15425	18498	21213	23959	26384	28861
30	30	4	4638	8593	12197	15445	18407	21139	23823	26387	28883
30	30	5	4611	8637	12221	15453	18415	21230	23863	26441	28823
30	30	6	4647	8627	12167	15456	18419	21179	23733	26453	28815
30	30	7	4631	8567	12156	15408	18369	21110	23961	26419	28957
30	30	8	4637	8651	12168	15423	18312	21215	23828	26465	28934
30	30	9	4583	8669	12235	15477	18386	21163	23907	26412	28761
30	30	10	4635	8641	12142	15423	18369	21220	23820	26477	28679
45	45	1	3789	7043	9923	12583	15023	17298	19471	21462	23451
45	45	2	3791	7040	9955	12626	14966	17321	19385	21437	23456
45	45	3	3791	7042	9965	12607	15025	17359	19437	21494	23417
45	45	4	3786	7054	9957	12611	15033	17412	19563	21585	23401
45	45	5	3783	7037	9920	12563	15065	17362	19489	21536	23443
45	45	6	3787	7034	9977	12604	15049	17409	19465	21583	23423
45	45	7	3789	7039	9915	12559	15020	17421	19473	21465	23453
45	45	8	3801	7015	9930	12562	14949	17386	19462	21493	23451
45	45	9	3801	7034	9937	12581	14979	17373	19465	21545	23433
45	45	10	3787	7035	9922	12549	14948	17363	19495	21585	23392
45p	45	1	3781	7027	9931	12579	15001	17299	19444	21505	23433
45p	45	2	3779	7027	9918	12601	15024	17303	19432	21493	23387
45p	45	3	3778	7036	9926	12598	15016	17315	19445	21466	23381
45p	45	4	3789	7054	9909	12588	15005	17319	19429	21443	23378
45p	45	5	3786	7039	9925	12594	15017	17294	19497	21449	23347
45p	45	6	3784	7059	9931	12574	15013	17290	19439	21457	23368
45p	45	7	3788	7043	9928	12597	15029	17274	19456	21435	23477
45p	45	8	3792	7049	9925	12583	15017	17313	19479	21472	23364
45p	45	9	3793	7039	9920	12585	15013	17287	19465	21505	23380
45p	45	10	3784	7043	9923	12593	15017	17303	19456	21502	23435
