N	Fase	Giri	Tempo
1	acc	1	17.2554
1	acc	2	24.0033
1	acc	3	29.8210
1	acc	4	33.3070
1	acc	5	37.1421
1	acc	6	40.4003
1	acc	7	43.6609
1	acc	8	46.7010
1	acc	9	49.6274
1	acc	10	52.1198
1	acc	11	54.8619
1	acc	12	57.2889
1	dec	10	18.8812
1	dec	20	43.7769
1	dec	30	68.7303
1	dec	40	94.7297
1	dec	50	121.1271
1	dec	60	148.9584
2	acc	1	15.2034
2	acc	2	21.7902
2	acc	3	26.8300
2	acc	4	30.7065
2	acc	5	34.6995
2	acc	6	37.9955
2	acc	7	41.2212
2	acc	8	44.2089
2	acc	9	47.1991
2	acc	10	49.8881
2	acc	11	52.4557
2	acc	12	54.8243
2	dec	10	21.1866
2	dec	20	45.2272
2	dec	30	69.9278
2	dec	40	95.5375
2	dec	50	122.0968
2	dec	60	149.9349
3	acc	1	15.3139
3	acc	2	22.1340
3	acc	3	27.0496
3	acc	4	31.4622
3	acc	5	35.2882
3	acc	6	38.5868
3	acc	7	41.8658
3	acc	8	45.0051
3	acc	9	47.8277
3	acc	10	50.3876
3	acc	11	52.7857
3	acc	12	55.3312
3	dec	10	23.1589
3	dec	20	46.9321
3	dec	30	71.6183
3	dec	40	96.9430
3	dec	50	123.6332
3	dec	60	150.7569
4	acc	1	15.6548
4	acc	2	22.2088
4	acc	3	27.2604
4	acc	4	31.6405
4	acc	5	35.3625
4	acc	6	38.9383
4	acc	7	42.1070
4	acc	8	45.1783
4	acc	9	48.0668
4	acc	10	50.5190
4	acc	11	52.9468
4	acc	12	55.1771
4	dec	10	22.6566
4	dec	20	46.6984
4	dec	30	71.3775
4	dec	40	97.2486
4	dec	50	123.5414
4	dec	60	151.1518
5	acc	1	15.4508
5	acc	2	21.9770
5	acc	3	27.1533
5	acc	4	31.3462
5	acc	5	35.0242
5	acc	6	38.6316
5	acc	7	41.8219
5	acc	8	45.0489
5	acc	9	47.6021
5	acc	10	50.3092
5	acc	11	53.0285
5	acc	12	55.0888
5	dec	10	23.0943
5	dec	20	46.6603
5	dec	30	71.4932
5	dec	40	96.8003
5	dec	50	123.0006
5	dec	60	150.8124
6	acc	1	15.6868
6	acc	2	22.9681
6	acc	3	27.6009
6	acc	4	31.9944
6	acc	5	35.8284
6	acc	6	39.3669
6	acc	7	42.5707
6	acc	8	45.5422
6	acc	9	48.5553
6	acc	10	51.1652
6	acc	11	53.6140
6	acc	12	56.0308
6	dec	10	22.5834
6	dec	20	46.3395
6	dec	30	71.0375
6	dec	40	96.6341
6	dec	50	122.9667
6	dec	60	150.3849
7	acc	1	15.7319
7	acc	2	22.2584
7	acc	3	27.4592
7	acc	4	31.7550
7	acc	5	35.5420
7	acc	6	39.1481
7	acc	7	42.0667
7	acc	8	44.9461
7	acc	9	47.7399
7	acc	10	50.3723
7	acc	11	53.0512
7	acc	12	55.5759
7	dec	10	22.9740
7	dec	20	46.8669
7	dec	30	71.2583
7	dec	40	96.5822
7	dec	50	123.3357
7	dec	60	151.0143
8	acc	1	15.8423
8	acc	2	22.4140
8	acc	3	27.4850
8	acc	4	31.8411
8	acc	5	35.6611
8	acc	6	38.8665
8	acc	7	42.2164
8	acc	8	45.2505
8	acc	9	47.9761
8	acc	10	50.7384
8	acc	11	53.1334
8	acc	12	55.5064
8	dec	10	23.3084
8	dec	20	47.1354
8	dec	30	71.8021
8	dec	40	97.2468
8	dec	50	123.7606
8	dec	60	151.1324
9	acc	1	14.7809
9	acc	2	21.7395
9	acc	3	26.5608
9	acc	4	30.8871
9	acc	5	34.7428
9	acc	6	38.5813
9	acc	7	41.4345
9	acc	8	44.2756
9	acc	9	47.1706
9	acc	10	49.9847
9	acc	11	52.5980
9	acc	12	55.1009
9	dec	10	23.2763
9	dec	20	46.9437
9	dec	30	71.7494
9	dec	40	97.0756
9	dec	50	123.7756
9	dec	60	150.7682
10	acc	1	15.8818
10	acc	2	22.6527
10	acc	3	27.7628
10	acc	4	32.5436
10	acc	5	35.6612
10	acc	6	39.1400
10	acc	7	42.3659
10	acc	8	45.5867
10	acc	9	48.3876
10	acc	10	51.0680
10	acc	11	53.6947
10	acc	12	56.2158
10	dec	10	23.2356
10	dec	20	46.8734
10	dec	30	71.5113
10	dec	40	97.2507
10	dec	50	123.4203
10	dec	60	150.5366
